@relation 'SAMPLE C-weka.filters.unsupervised.attribute.StringToNominal-Rlast-weka.filters.supervised.instance.SMOTE-C0-K5-P100.0-S1'

@attribute 'Project Scope Complexity' {Low,Medium,'High '}
@attribute 'Technical Feasibility' {Challenging,Feasible,Unfeasible}
@attribute 'Financial Feasibility' {Feasible,Unfeasible,Challenging}
@attribute 'Contract Terms' {Favorable,Neutral,Unfavorable}
@attribute 'Relevant Experience' {Yes,No}
@attribute 'Internal Resources Available' {Yes,No}
@attribute 'Partner or Joint Venture' {No,Yes}
@attribute 'Regulatory Issues' {Minor,None,Major}
@attribute 'Risk Level' {Low,Medium,High}
@attribute 'Market Demand' {High,Medium,Low}
@attribute 'Client Reliability' {High,Low,Medium}
@attribute 'Strategic Alignment' {High,Medium,Low}
@attribute 'Initial Go NoGo Decision' {Go,NoGo}

@data
'High ',Unfeasible,Unfeasible,Unfavorable,Yes,No,No,Major,High,Low,Medium,Low,NoGo
'High ',Unfeasible,Unfeasible,Unfavorable,No,Yes,Yes,Minor,High,Medium,Medium,Medium,NoGo
Low,Unfeasible,Unfeasible,Unfavorable,No,No,Yes,Minor,High,Medium,Medium,Medium,NoGo
Low,Unfeasible,Unfeasible,Unfavorable,Yes,No,No,Minor,High,Low,Medium,Medium,NoGo
Low,Unfeasible,Unfeasible,Unfavorable,Yes,No,No,Minor,High,Low,Medium,Medium,NoGo
Low,Unfeasible,Unfeasible,Unfavorable,No,No,Yes,Minor,High,Low,Medium,Medium,NoGo
Low,Unfeasible,Unfeasible,Unfavorable,No,No,Yes,Minor,High,Low,Medium,Medium,NoGo
Medium,Unfeasible,Unfeasible,Unfavorable,Yes,No,No,Minor,High,Low,Medium,Low,NoGo
Medium,Unfeasible,Unfeasible,Unfavorable,No,Yes,No,Minor,High,Low,Medium,Low,NoGo
Low,Unfeasible,Unfeasible,Unfavorable,No,No,No,Minor,High,Medium,Medium,Medium,NoGo
Low,Unfeasible,Unfeasible,Unfavorable,No,No,Yes,Minor,High,Low,Medium,Medium,NoGo
Low,Unfeasible,Unfeasible,Unfavorable,No,No,Yes,Minor,High,Low,Medium,Medium,NoGo
'High ',Unfeasible,Unfeasible,Unfavorable,No,Yes,Yes,Minor,High,Medium,Low,Medium,NoGo
Medium,Unfeasible,Unfeasible,Unfavorable,Yes,No,No,Minor,High,Low,Medium,Low,NoGo
'High ',Unfeasible,Unfeasible,Unfavorable,No,Yes,Yes,Major,High,Medium,Medium,Low,NoGo
'High ',Unfeasible,Unfeasible,Unfavorable,No,No,Yes,Minor,High,Medium,Medium,Medium,NoGo
Medium,Unfeasible,Unfeasible,Unfavorable,Yes,No,No,Minor,High,Low,Medium,Medium,NoGo
'High ',Unfeasible,Unfeasible,Unfavorable,Yes,No,No,Major,High,Low,Medium,Medium,NoGo
'High ',Unfeasible,Unfeasible,Unfavorable,No,No,Yes,Major,High,Low,Medium,Medium,NoGo
Medium,Unfeasible,Unfeasible,Unfavorable,Yes,No,No,Minor,High,Low,Medium,Low,NoGo
'High ',Unfeasible,Unfeasible,Unfavorable,No,Yes,No,Minor,High,Low,Medium,Low,NoGo
'High ',Unfeasible,Unfeasible,Unfavorable,No,No,Yes,Minor,High,Medium,Medium,Medium,NoGo
'High ',Unfeasible,Feasible,Unfavorable,Yes,No,No,Minor,Medium,Medium,Medium,Medium,NoGo
'High ',Unfeasible,Unfeasible,Unfavorable,No,No,Yes,Minor,High,Low,Medium,Medium,NoGo
'High ',Unfeasible,Feasible,Unfavorable,No,No,Yes,Major,Medium,Low,Medium,Medium,NoGo
'High ',Unfeasible,Unfeasible,Unfavorable,Yes,No,No,Minor,High,Low,Medium,Low,NoGo
Medium,Unfeasible,Unfeasible,Unfavorable,No,No,Yes,Minor,High,Low,Medium,Medium,NoGo
Medium,Unfeasible,Unfeasible,Unfavorable,Yes,No,No,Minor,High,Low,Medium,Low,NoGo
Medium,Unfeasible,Unfeasible,Unfavorable,No,No,Yes,Minor,High,Low,Medium,Medium,NoGo
Medium,Unfeasible,Unfeasible,Unfavorable,Yes,No,No,Minor,High,Low,Medium,Low,NoGo
Medium,Unfeasible,Unfeasible,Unfavorable,No,No,Yes,Minor,High,Low,Medium,Medium,NoGo
'High ',Unfeasible,Unfeasible,Unfavorable,Yes,No,No,Minor,High,Low,Medium,Low,NoGo
Low,Challenging,Unfeasible,Unfavorable,No,No,Yes,Minor,High,Medium,High,Medium,NoGo
Low,Unfeasible,Unfeasible,Unfavorable,No,Yes,Yes,Minor,High,High,Medium,High,NoGo
Low,Challenging,Unfeasible,Unfavorable,No,No,Yes,Minor,Medium,Low,Medium,Medium,NoGo
Low,Challenging,Unfeasible,Unfavorable,No,No,Yes,Minor,High,Medium,High,Medium,NoGo
'High ',Unfeasible,Unfeasible,Unfavorable,No,No,Yes,Minor,High,Medium,Medium,Medium,NoGo
'High ',Challenging,Unfeasible,Neutral,Yes,No,No,Major,High,Low,Medium,Medium,NoGo
