@relation 'SAMPLE A-weka.filters.unsupervised.attribute.StringToNominal-Rlast-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6-weka.filters.supervised.instance.SMOTE-C0-K5-P100.0-S1'

@attribute 'Project Scope Complexity' {Low,Medium,'High '}
@attribute 'Technical Feasibility' {Challenging,Feasible,Unfeasible}
@attribute 'Financial Feasibility' {Feasible,Unfeasible,Challenging}
@attribute 'Contract Terms' {Favorable,Neutral,Unfavorable}
@attribute 'Project Timeline Months' {'24 - 36 Months','12 - 24 Months','6 - 12 Months','Above  48 Months','36 - 48 Months','Less than 6  Months'}
@attribute 'Relevant Experience' {Yes,No}
@attribute 'Internal Resources Available' {Yes,No}
@attribute 'Regulatory Issues' {Minor,None,Major}
@attribute 'Risk Level' {Low,Medium,High}
@attribute 'Market Demand' {High,Medium,Low}
@attribute 'Strategic Alignment' {High,Medium,Low}
@attribute 'Long Term Impact' {High,Low,Medium}
@attribute 'Initial Go NoGo Decision' {Go,NoGo}

@data
'High ',Challenging,Feasible,Unfavorable,'36 - 48 Months',No,Yes,Major,Medium,Low,Medium,Low,NoGo
'High ',Unfeasible,Unfeasible,Unfavorable,'24 - 36 Months',No,Yes,Minor,High,Medium,Medium,Low,NoGo
'High ',Unfeasible,Feasible,Unfavorable,'12 - 24 Months',Yes,No,Minor,Medium,Low,Medium,Medium,NoGo
Medium,Unfeasible,Unfeasible,Unfavorable,'24 - 36 Months',No,No,Minor,High,Low,Medium,Low,NoGo
'High ',Challenging,Unfeasible,Unfavorable,'24 - 36 Months',No,No,Minor,High,Low,Medium,Medium,NoGo
'High ',Challenging,Unfeasible,Unfavorable,'36 - 48 Months',No,No,Minor,High,Low,Medium,Medium,NoGo
'High ',Unfeasible,Unfeasible,Unfavorable,'24 - 36 Months',Yes,No,Major,High,Low,Low,Low,NoGo
'High ',Challenging,Feasible,Unfavorable,'36 - 48 Months',No,Yes,Minor,Medium,Low,Medium,Medium,NoGo
'High ',Unfeasible,Unfeasible,Unfavorable,'Less than 6  Months',No,No,Minor,High,Medium,Medium,Medium,NoGo
'High ',Challenging,Unfeasible,Neutral,'36 - 48 Months',No,No,Minor,Medium,Low,Low,Medium,NoGo
'High ',Unfeasible,Unfeasible,Neutral,'Less than 6  Months',No,No,Minor,High,Medium,Medium,Medium,NoGo
'High ',Unfeasible,Feasible,Neutral,'12 - 24 Months',No,No,Major,Medium,Low,Medium,Medium,NoGo
'High ',Unfeasible,Feasible,Neutral,'12 - 24 Months',Yes,No,Minor,Medium,Medium,Medium,Medium,NoGo
'High ',Challenging,Feasible,Neutral,'Less than 6  Months',No,No,Minor,Medium,Low,High,Medium,NoGo
'High ',Unfeasible,Feasible,Neutral,'24 - 36 Months',No,Yes,Major,High,Medium,Medium,Medium,NoGo
'High ',Unfeasible,Feasible,Neutral,'24 - 36 Months',No,No,Minor,High,Medium,Low,Medium,NoGo
'High ',Unfeasible,Feasible,Neutral,'12 - 24 Months',No,No,Minor,High,Medium,Low,Medium,NoGo
'High ',Challenging,Feasible,Neutral,'36 - 48 Months',No,Yes,Major,Medium,Low,Low,Low,NoGo
'High ',Unfeasible,Feasible,Neutral,'24 - 36 Months',No,Yes,Major,High,Medium,Medium,Medium,NoGo
'High ',Unfeasible,Feasible,Neutral,'Less than 6  Months',Yes,No,Minor,Medium,Medium,Medium,Low,NoGo
Medium,Challenging,Feasible,Neutral,'12 - 24 Months',No,No,Minor,Medium,Medium,Low,Medium,NoGo
'High ',Unfeasible,Feasible,Neutral,'24 - 36 Months',No,No,Major,Medium,Medium,Medium,Low,NoGo
'High ',Unfeasible,Feasible,Neutral,'24 - 36 Months',No,No,Minor,High,Low,Medium,Medium,NoGo
'High ',Unfeasible,Feasible,Neutral,'24 - 36 Months',No,Yes,Major,High,Medium,Medium,Medium,NoGo
Medium,Challenging,Feasible,Neutral,'12 - 24 Months',Yes,No,Minor,Medium,Medium,Medium,Medium,NoGo
'High ',Unfeasible,Unfeasible,Neutral,'24 - 36 Months',No,No,Minor,High,Low,Medium,Medium,NoGo
'High ',Unfeasible,Feasible,Neutral,'24 - 36 Months',No,Yes,Major,Medium,Low,Low,Medium,NoGo
Medium,Unfeasible,Unfeasible,Neutral,'24 - 36 Months',No,Yes,Minor,High,Low,Medium,Low,NoGo
'High ',Challenging,Feasible,Neutral,'36 - 48 Months',No,Yes,Major,Medium,Low,Low,Medium,NoGo
'High ',Unfeasible,Unfeasible,Neutral,'24 - 36 Months',No,No,Minor,High,Medium,Medium,Medium,NoGo
'High ',Unfeasible,Unfeasible,Neutral,'24 - 36 Months',No,Yes,Minor,High,Medium,Medium,Medium,NoGo
'High ',Challenging,Feasible,Neutral,'36 - 48 Months',No,Yes,Major,Medium,Low,Low,Low,NoGo
'High ',Unfeasible,Unfeasible,Neutral,'24 - 36 Months',Yes,No,Minor,High,Low,Medium,Low,NoGo
'High ',Unfeasible,Unfeasible,Neutral,'24 - 36 Months',Yes,No,Major,High,Low,Medium,Low,NoGo
'High ',Unfeasible,Unfeasible,Unfavorable,'Less than 6  Months',Yes,No,Minor,High,Low,Low,Medium,NoGo
Medium,Challenging,Unfeasible,Unfavorable,'36 - 48 Months',No,No,Minor,High,Low,Medium,Medium,NoGo
'High ',Unfeasible,Unfeasible,Unfavorable,'24 - 36 Months',No,Yes,Minor,High,Medium,Medium,Low,NoGo
Medium,Unfeasible,Unfeasible,Unfavorable,'12 - 24 Months',No,Yes,Minor,High,Low,Low,Low,NoGo
'High ',Challenging,Unfeasible,Unfavorable,'12 - 24 Months',No,No,Minor,High,Medium,Medium,Medium,NoGo
Low,Challenging,Unfeasible,Unfavorable,'12 - 24 Months',No,No,Minor,High,Medium,Medium,Low,NoGo
'High ',Unfeasible,Feasible,Unfavorable,'24 - 36 Months',Yes,No,Minor,Medium,Low,Medium,Medium,NoGo
'High ',Unfeasible,Feasible,Unfavorable,'36 - 48 Months',No,Yes,Minor,Medium,Medium,Medium,Medium,NoGo
Low,Unfeasible,Unfeasible,Unfavorable,'24 - 36 Months',No,No,Minor,High,Low,Medium,Low,NoGo
Low,Unfeasible,Unfeasible,Unfavorable,'24 - 36 Months',No,No,Minor,High,Low,Medium,Medium,NoGo
Low,Unfeasible,Unfeasible,Unfavorable,'36 - 48 Months',No,No,Minor,High,Low,Medium,Medium,NoGo
'High ',Unfeasible,Unfeasible,Unfavorable,'24 - 36 Months',No,No,Major,High,Low,Medium,Low,NoGo
Medium,Unfeasible,Unfeasible,Unfavorable,'24 - 36 Months',No,No,Minor,High,Low,Medium,Low,NoGo
'High ',Unfeasible,Feasible,Unfavorable,'12 - 24 Months',No,No,Major,Medium,Low,Medium,Medium,NoGo
Low,Feasible,Unfeasible,Unfavorable,'36 - 48 Months',No,Yes,Minor,High,High,High,High,NoGo
'High ',Unfeasible,Unfeasible,Unfavorable,'Less than 6  Months',Yes,No,Minor,High,Low,Low,Medium,NoGo
Medium,Unfeasible,Unfeasible,Unfavorable,'12 - 24 Months',No,Yes,Minor,High,Low,Low,Low,NoGo
'High ',Unfeasible,Feasible,Unfavorable,'12 - 24 Months',Yes,No,Minor,Medium,Medium,Medium,Medium,NoGo
'High ',Unfeasible,Unfeasible,Unfavorable,'Less than 6  Months',No,No,Minor,High,Medium,Medium,Medium,NoGo
'High ',Unfeasible,Unfeasible,Unfavorable,'36 - 48 Months',No,No,Minor,High,Low,Medium,Medium,NoGo
'High ',Unfeasible,Unfeasible,Unfavorable,'24 - 36 Months',No,No,Major,High,Low,Medium,Low,NoGo
'High ',Unfeasible,Unfeasible,Unfavorable,'24 - 36 Months',No,Yes,Minor,High,Medium,Medium,Low,NoGo
'High ',Unfeasible,Unfeasible,Unfavorable,'24 - 36 Months',Yes,No,Major,High,Low,Low,Low,NoGo
'High ',Unfeasible,Unfeasible,Unfavorable,'36 - 48 Months',No,Yes,Minor,High,Medium,Medium,Medium,NoGo
'High ',Unfeasible,Unfeasible,Unfavorable,'24 - 36 Months',No,No,Minor,High,Medium,Medium,Medium,NoGo
'High ',Unfeasible,Unfeasible,Unfavorable,'24 - 36 Months',Yes,No,Major,High,Low,Low,Low,NoGo
Medium,Unfeasible,Unfeasible,Unfavorable,'24 - 36 Months',Yes,No,Major,High,Low,Medium,Low,NoGo
'High ',Unfeasible,Unfeasible,Unfavorable,'24 - 36 Months',No,No,Major,High,Low,Medium,Medium,NoGo
'High ',Unfeasible,Unfeasible,Unfavorable,'24 - 36 Months',No,No,Major,High,Low,Medium,Low,NoGo
'High ',Unfeasible,Unfeasible,Unfavorable,'Less than 6  Months',Yes,No,Minor,High,Low,Low,Medium,NoGo
Medium,Unfeasible,Unfeasible,Unfavorable,'12 - 24 Months',No,Yes,Minor,High,Low,Low,Low,NoGo
'High ',Unfeasible,Unfeasible,Unfavorable,'Less than 6  Months',No,No,Minor,High,Medium,Medium,Medium,NoGo
'High ',Unfeasible,Unfeasible,Unfavorable,'36 - 48 Months',No,No,Minor,High,Low,Medium,Medium,NoGo
'High ',Unfeasible,Unfeasible,Unfavorable,'24 - 36 Months',No,No,Major,High,Low,Medium,Low,NoGo
'High ',Unfeasible,Unfeasible,Unfavorable,'24 - 36 Months',No,Yes,Minor,High,Medium,Medium,Low,NoGo
'High ',Unfeasible,Unfeasible,Unfavorable,'24 - 36 Months',Yes,No,Major,High,Low,Low,Low,NoGo
'High ',Unfeasible,Unfeasible,Unfavorable,'36 - 48 Months',No,Yes,Minor,High,Medium,Medium,Medium,NoGo
Low,Unfeasible,Unfeasible,Unfavorable,'24 - 36 Months',No,No,Minor,High,Low,Medium,Medium,NoGo
Medium,Unfeasible,Unfeasible,Unfavorable,'24 - 36 Months',Yes,No,Minor,High,Low,Medium,Low,NoGo
Medium,Unfeasible,Unfeasible,Unfavorable,'24 - 36 Months',Yes,No,Major,High,Low,Medium,Low,NoGo
Low,Unfeasible,Unfeasible,Unfavorable,'24 - 36 Months',No,No,Minor,High,Low,Medium,Medium,NoGo
Low,Unfeasible,Unfeasible,Unfavorable,'24 - 36 Months',No,No,Minor,High,Low,Medium,Medium,NoGo
Medium,Unfeasible,Unfeasible,Unfavorable,'Less than 6  Months',Yes,No,Minor,High,Low,Low,Medium,NoGo
Medium,Unfeasible,Unfeasible,Unfavorable,'12 - 24 Months',No,Yes,Minor,High,Low,Low,Low,NoGo
Low,Unfeasible,Unfeasible,Unfavorable,'24 - 36 Months',No,No,Minor,High,Medium,Medium,Medium,NoGo
Low,Unfeasible,Unfeasible,Unfavorable,'24 - 36 Months',No,No,Minor,High,Low,Medium,Medium,NoGo
Low,Unfeasible,Unfeasible,Unfavorable,'24 - 36 Months',No,No,Minor,High,Low,Medium,Low,NoGo
'High ',Unfeasible,Unfeasible,Unfavorable,'24 - 36 Months',No,Yes,Minor,High,Medium,Medium,Low,NoGo
Medium,Unfeasible,Unfeasible,Unfavorable,'24 - 36 Months',Yes,No,Major,High,Low,Medium,Low,NoGo
Low,Unfeasible,Unfeasible,Unfavorable,'36 - 48 Months',No,Yes,Major,High,Medium,Low,Medium,NoGo
'High ',Unfeasible,Unfeasible,Unfavorable,'24 - 36 Months',No,No,Minor,High,Medium,Medium,Medium,NoGo
Medium,Unfeasible,Unfeasible,Unfavorable,'24 - 36 Months',Yes,No,Minor,High,Low,Medium,Low,NoGo
'High ',Unfeasible,Unfeasible,Unfavorable,'24 - 36 Months',Yes,No,Major,High,Low,Low,Low,NoGo
'High ',Unfeasible,Unfeasible,Unfavorable,'24 - 36 Months',No,No,Major,High,Low,Medium,Low,NoGo
Medium,Unfeasible,Unfeasible,Unfavorable,'Less than 6  Months',Yes,No,Minor,High,Low,Low,Medium,NoGo
'High ',Unfeasible,Unfeasible,Unfavorable,'24 - 36 Months',No,Yes,Minor,High,Medium,Medium,Low,NoGo
'High ',Unfeasible,Unfeasible,Unfavorable,'Less than 6  Months',No,No,Minor,High,Medium,Medium,Medium,NoGo
'High ',Unfeasible,Feasible,Unfavorable,'12 - 24 Months',Yes,No,Minor,Medium,Medium,Medium,Medium,NoGo
'High ',Unfeasible,Unfeasible,Unfavorable,'24 - 36 Months',No,No,Major,High,Low,Medium,Medium,NoGo
'High ',Unfeasible,Feasible,Unfavorable,'12 - 24 Months',No,No,Major,Medium,Low,Medium,Medium,NoGo
'High ',Unfeasible,Unfeasible,Unfavorable,'Less than 6  Months',Yes,No,Minor,High,Low,Low,Medium,NoGo
Medium,Unfeasible,Unfeasible,Unfavorable,'24 - 36 Months',No,No,Minor,High,Low,Medium,Medium,NoGo
Medium,Unfeasible,Unfeasible,Unfavorable,'Less than 6  Months',Yes,No,Minor,High,Low,Low,Medium,NoGo
Medium,Unfeasible,Unfeasible,Unfavorable,'24 - 36 Months',No,No,Minor,High,Low,Medium,Medium,NoGo
Medium,Unfeasible,Unfeasible,Unfavorable,'Less than 6  Months',Yes,No,Minor,High,Low,Low,Medium,NoGo
Medium,Unfeasible,Unfeasible,Unfavorable,'24 - 36 Months',No,No,Minor,High,Low,Medium,Medium,NoGo
'High ',Unfeasible,Unfeasible,Unfavorable,'Less than 6  Months',Yes,No,Minor,High,Low,Low,Medium,NoGo
Low,Challenging,Unfeasible,Unfavorable,'12 - 24 Months',No,No,Minor,High,Medium,Medium,High,NoGo
Low,Feasible,Unfeasible,Unfavorable,'36 - 48 Months',No,Yes,Minor,High,High,High,High,NoGo
Low,Challenging,Unfeasible,Unfavorable,'36 - 48 Months',No,No,Minor,Medium,Low,Medium,Medium,NoGo
Low,Challenging,Unfeasible,Unfavorable,'12 - 24 Months',No,No,Minor,High,Medium,Medium,High,NoGo
'High ',Unfeasible,Unfeasible,Unfavorable,'24 - 36 Months',No,No,Minor,High,Medium,Medium,Medium,NoGo
'High ',Challenging,Unfeasible,Neutral,'24 - 36 Months',Yes,No,Major,High,Low,Medium,Low,NoGo
